TERF1,POT1
TINF2,TNKS
TERF1,TERF2
NOP10,NHP2
DKC1,NHP2
DKC1,NOP10
DKC1,GAR1
NHP2,GAR1
NOP10,GAR1
TEN1,CTC1
RFC1,RFC2
RFC1,RFC3
RFC1,RFC5
RFC2,RFC3
PTGES3,NHP2
RFC2,RFC5
RFC3,RFC5
RFC4,RFC1
PTGES3,DKC1
PTGES3,GAR1
PTGES3,NOP10
JUN,FOS
PRIM2,PRIM1
RPA2,RPA1
RPA2,RPA3
POLA1,PRIM2
RFC4,RFC2
RFC4,RFC3
RPA3,RPA1
PCNA,POLD1
PCNA,POLD3
RFC4,RFC5
PCNA,POLD4
POLD1,POLD3
POLD4,POLD1
POLD4,POLD3
POLA1,PRIM1
APC2,BUB1
CDC20,BUB3
APC2,CDC20
APC2,BUB3
BUB1,BUB3
PCNA,WRN
CDC20,BUB1
ATM,MRE11
ATM,RAD50
WRN,MRE11
MRE11,RAD50
RAD50,MDC1
ATRIP,CHEK1
ATR,ATRIP
ATRIP,CLSPN
ATR,CHEK1
ATR,CLSPN
MRE11,MDC1
WRN,RAD50
ATM,MDC1
PCNA,ATRIP
CLSPN,CHEK1
PCNA,ATR
PCNA,CHEK1
PCNA,CLSPN
ATRIP,TIPIN
WRN,ATM
CHEK1,TIPIN
ATR,TIPIN
CLSPN,TIPIN
ATRIP,RAD17
RAD17,TOPBP1
ATR,FAAP24
ATR,FANCM
CLSPN,TOPBP1
FANCM,FAAP24
ATR,FANCD2
ATR,RAD17
ATR,MRE11
ATR,RAD50
FANCD2,MRE11
AURKB,INCENP
BIRC5,AURKB
BIRC5,INCENP
BRCA1,AURKA
ATR,TOPBP1
ATRIP,TOPBP1
CLSPN,RAD17
PARP3,LIG4
PARP3,XRCC4
BRCA1,BARD1
FANCD2,RAD50
BARD1,RAD52
BARD1,XRCC3
LIG4,XRCC4
BRCA1,FANCD2
BRCA1,RAD51
BRCA1,RAD52
BRCA1,XRCC2
BRCA1,XRCC3
BRCA2,BARD1
BRCA2,RAD51
BRCA2,RAD52
BARD1,XRCC2
BRCA1,BRCA2
FANCD2,BARD1
FANCD2,XRCC2
FANCD2,XRCC3
RAD51,BARD1
FANCD2,RAD52
RAD51,RAD52
RAD51,XRCC2
RAD51,XRCC3
RAD52,XRCC2
BRCA2,XRCC2
XRCC3,RAD52
XRCC3,XRCC2
BRCA2,XRCC3
FANCD2,BRCA2
FANCD2,RAD51
BLM,FAAP20
BLM,FAAP24
BLM,FANCE
BLM,FANCF
BLM,FANCG
BLM,FANCL
BLM,FANCM
BLM,HES1
FAAP100,FAAP20
FAAP100,FANCB
FAAP20,FANCB
FAAP24,FAAP100
BLM,FAAP100
FAAP24,FAAP20
FAAP24,FANCA
FAAP24,FANCB
FAAP24,FANCC
FAAP24,FANCE
FAAP24,FANCL
FAAP24,FANCF
FAAP24,HES1
BLM,FANCC
FANCA,FAAP100
BLM,FANCA
FANCA,FAAP20
FANCA,FANCE
BLM,FANCB
FANCA,FANCB
FANCA,FANCF
FANCA,FANCL
FANCC,FAAP100
FANCA,HES1
FANCC,FAAP20
FANCC,FANCA
FANCC,FANCB
FANCC,FANCE
FANCC,FANCF
FANCC,FANCL
FANCC,HES1
FANCE,FAAP100
FANCE,FAAP20
FANCE,FANCB
FANCE,FANCF
FANCE,HES1
FANCG,FAAP20
FANCF,FAAP20
FANCG,FAAP24
FANCG,FANCA
FANCG,FANCB
FANCG,FANCC
FANCG,FANCE
FANCG,FANCF
FANCG,FANCL
FANCG,FAAP100
FANCG,HES1
FANCL,FAAP20
FANCL,FAAP100
FANCF,FANCB
FANCL,FANCF
FANCM,FAAP100
FANCE,FANCL
FANCL,FANCB
FANCM,FAAP20
FANCF,FAAP100
FANCM,FANCC
FANCM,FANCG
FANCM,FANCL
FANCM,HES1
HES1,FAAP100
HES1,FAAP20
HES1,FANCB
HES1,FANCF
FANCM,FANCE
HES1,FANCL
FANCM,FANCF
FAAP24,TOP3A
FANCA,TOP3A
FANCB,TOP3A
FANCM,FANCA
FANCC,TOP3A
FANCE,TOP3A
FANCG,TOP3A
FANCF,TOP3A
FANCL,TOP3A
FANCM,FANCB
BLM,TOP3A
FAAP20,TOP3A
FAAP100,TOP3A
FANCM,TOP3A
HES1,TOP3A
BRCA1,FANCI
PCNA,FANCD2
FANCI,RAD51
FANCD2,FANCI
PCNA,FANCI
PCNA,BRCA2
PCNA,RAD51
BRCA1,PARP2
MRE11,PARP2
PARP1,MRE11
PARP1,PARP2
PARP1,RAD50
RAD50,PARP2
BRCA1,E2F1
BRCA1,RB1
E2F1,RB1
BRCA1,SMC3
BRCA2,FANCC
BRCA1,PARP1
BRCA1,MRE11
BRCA1,RAD50
BRCA2,FANCI
PCNA,BRCA1
BRCA2,FANCG
FANCC,XRCC3
FANCG,XRCC3
CUL1,SKP1
CUL1,SKP2
RBX1,SKP1
RBX1,SKP2
SKP1,SKP2
CDK1,GADD45A
RBX1,CUL1
CDC45,CDC6
CDC45,MCM5
CDC45,ORC6
CDC6,MCM5
CDT1,CDC45
CDT1,CDC6
CDT1,MCM2
CDT1,MCM3
CDT1,MCM4
CDT1,MCM5
CDT1,MCM6
CDT1,ORC1
CDT1,ORC2
CDT1,ORC3
CDT1,ORC4
CDT1,ORC5
CDT1,ORC6
MCM2,CDC45
MCM2,CDC6
MCM2,MCM5
MCM2,MCM6
MCM2,ORC1
MCM2,ORC3
MCM2,ORC5
MCM2,ORC6
MCM3,CDC6
MCM3,CDC45
MCM3,MCM2
MCM3,MCM5
MCM3,MCM6
MCM3,ORC1
MCM3,ORC2
MCM3,ORC3
MCM3,ORC4
MCM3,ORC5
MCM3,ORC6
MCM4,CDC45
MCM4,CDC6
MCM4,MCM2
MCM4,MCM3
MCM4,MCM5
MCM4,MCM6
MCM4,ORC1
MCM4,ORC2
MCM4,ORC3
MCM4,ORC4
MCM4,ORC5
MCM4,ORC6
MCM6,CDC45
MCM6,CDC6
MCM6,MCM5
MCM6,ORC6
MCM7,CDC45
MCM7,CDC6
MCM7,CDT1
