A1CF,APOBEC1
A1CF,CELF2
A1CF,EP300
A1CF,RBM47
A2M,APOA1
A2M,BMP1
A2M,KLKB1
A2M,MMP1
A2M,MMP13
A2M,MMP3
A2M,NFKB1
A2M,PROC
A2M,RELA
A2M,STAT1
A2M,STAT3
A4GNT,MUC1
A4GNT,MUC12
A4GNT,MUC13
A4GNT,MUC15
A4GNT,MUC16
A4GNT,MUC17
A4GNT,MUC19
A4GNT,MUC2
A4GNT,MUC20
A4GNT,MUC21
A4GNT,MUC3A
A4GNT,MUC3B
A4GNT,MUC4
A4GNT,MUC5AC
A4GNT,MUC5B
A4GNT,MUC6
A4GNT,MUC7
A4GNT,MUCL1
A4GNT,POMGNT1
AAAS,AGO2
AAAS,ALYREF
AAAS,AURKB
AAAS,BANF1
AAAS,BIRC5
AAAS,CASC3
AAAS,CCNB1
AAAS,CCNB2
AAAS,CDC40
AAAS,CDCA8
AAAS,CDK1
AAAS,CHTOP
AAAS,CPSF1
AAAS,CPSF2
AAAS,CPSF3
AAAS,CPSF4
AAAS,DDX20
AAAS,DHX38
AAAS,DYNC1H1
AAAS,DYNC1I1
AAAS,DYNC1I2
AAAS,DYNC1LI1
AAAS,DYNC1LI2
AAAS,DYNLL1
AAAS,DYNLL2
AAAS,EIF4A3
AAAS,EIF4E
AAAS,FIP1L1
AAAS,GCK
AAAS,GCKR
AAAS,GEMIN2
AAAS,GEMIN4
AAAS,GEMIN5
AAAS,GEMIN6
AAAS,GEMIN7
AAAS,GEMIN8
AAAS,GLE1
AAAS,HDAC4
AAAS,HIKESHI
AAAS,HMGA1
AAAS,HNRNPC
AAAS,HSPA1B
AAAS,INCENP
AAAS,IPO8
AAAS,IRF3
AAAS,IRF7
AAAS,ISG15
AAAS,KPNA1
AAAS,KPNA2
AAAS,KPNA3
AAAS,KPNA4
AAAS,KPNA5
AAAS,KPNA7
AAAS,KPNB1
AAAS,MAGOH
AAAS,MAGOHB
AAAS,MDM2
AAAS,NCBP1
AAAS,NCBP2
AAAS,NDC1
AAAS,NEK6
AAAS,NEK9
AAAS,NPM1
AAAS,NUP107
AAAS,NUP133
AAAS,NUP153
AAAS,NUP155
AAAS,NUP160
AAAS,NUP188
AAAS,NUP205
AAAS,NUP210
AAAS,NUP214
AAAS,NUP35
AAAS,NUP37
AAAS,NUP42
AAAS,NUP43
AAAS,NUP50
AAAS,NUP54
AAAS,NUP58
AAAS,NUP62
AAAS,NUP85
AAAS,NUP88
AAAS,NUP93
AAAS,NUP98
AAAS,NXF1
AAAS,NXF2
AAAS,NXT1
